names,teams,leagues,positions,jersey_numbers,goals,assists,yellow_cards,red_cards,shots,shots_og,saves,clean_sheets,goals_against,photo_urls,heights,weights,birthdates,nationalities
Sinead Farrelly,NJ/NY Gotham FC,nwsl,N/A,33,0,1,4,0,6,3,0,0,10,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Sinead_Farrelly_001.jpeg,"5' 5""",119 lbs,1989-11-16T08:00Z,Republic of Ireland
Ava Cook,Chicago Red Stars,nwsl,N/A,25,3,0,2,0,17,4,0,2,23,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Ava_Cook_001.jpeg,"5' 10""",N/A,1998-10-03T07:00Z,USA
Samantha Fisher,Chicago Red Stars,nwsl,N/A,2,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Samantha_Fisher_001.jpeg,"5' 6""",N/A,1999-08-26T07:00Z,USA
Lauren Ivory,OL Reign,nwsl,N/A,18,0,0,1,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Laurel_Ivory_001.jpeg,"5' 9""",N/A,1999-08-28T07:00Z,USA
Samantha Coffey,Portland Thorns FC,nwsl,N/A,17,0,8,1,0,14,2,0,6,26,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Sam_Coffey_001.jpeg,"5' 5""",N/A,1998-12-31T08:00Z,USA
Anna Moorhouse,Orlando Pride,nwsl,N/A,21,0,0,0,1,0,0,70,6,22,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Anna_Moorhouse_001.jpeg,N/A,N/A,1995-03-30T08:00Z,England
Isabel Rodriguez,Kansas City Current,nwsl,N/A,18,3,2,3,0,7,4,0,2,19,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Isabel_Rodriguez.jpeg,"5' 5""",N/A,1999-04-13T07:00Z,USA
Natalie Beckman,Portland Thorns FC,nwsl,N/A,45,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Natalie_Beckman_001.jpeg,"5' 2""",N/A,2000-03-25T08:00Z,USA
Jillienne Aguilera,Chicago Red Stars,nwsl,N/A,14,0,0,0,0,4,0,0,0,6,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Jill_Aguilera_002.jpeg,"5' 7""",N/A,1998-01-05T08:00Z,Puerto Rico
Isabella Briede,San Diego Wave FC,nwsl,N/A,23,1,0,0,0,5,3,0,0,8,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Belle_Briede_001.jpeg,"5' 6""",N/A,1998-10-03T07:00Z,USA
Haley Bugeja,Orlando Pride,nwsl,N/A,7,0,0,0,0,0,0,0,0,1,N/A,N/A,N/A,2004-05-05T07:00Z,Malta
Reiss,Orlando Pride,nwsl,N/A,30,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\5\17/USATSI_20361067_168397606_lowres.jpg,"5' 6""",N/A,1999-12-09T08:00Z,Brazil
Cheyenne Shorts,San Diego Wave FC,nwsl,N/A,N/A,1,0,0,0,1,1,0,0,3,N/A,"5' 9""",N/A,1998-08-10T07:00Z,USA
Amanda Allen,Orlando Pride,nwsl,N/A,29,0,0,0,0,1,0,0,0,0,N/A,"5' 4""",N/A,2005-02-21T08:00Z,Canada
Jaedyn Shaw,San Diego Wave FC,nwsl,N/A,11,5,3,2,0,38,16,0,2,15,https://d2nkt8hgeld8zj.cloudfront.net\images\2022\11\28/Jaedyn_Shaw.png,"5' 6""",N/A,2004-11-20T08:00Z,USA
Sophie Hirst,Houston Dash,nwsl,N/A,30,1,0,0,0,5,2,0,1,5,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Sophie_Hirst_002.jpeg,N/A,N/A,2000-02-25T08:00Z,USA
Lauren Kozal,Portland Thorns FC,nwsl,N/A,N/A,0,0,0,0,0,0,0,0,0,N/A,"5' 10""",N/A,2000-07-11T07:00Z,USA
Alyssa Thompson,Angel City FC,nwsl,N/A,21,4,1,0,0,26,8,0,0,20,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Alyssa_Thompson_001.jpeg,"5' 4""",108 lbs,2004-11-07T08:00Z,USA
Angelina Anderson,Angel City FC,nwsl,N/A,19,0,0,0,0,0,0,14,1,2,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Angelina_Anderson_001.jpeg,"5' 11""",N/A,2001-03-22T08:00Z,USA
Luany,OL Reign,nwsl,N/A,19,0,0,0,0,0,0,0,0,0,N/A,"5' 5""",N/A,2003-02-03T08:00Z,Brazil
Riley Tanner,Washington Spirit,nwsl,N/A,27,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Riley_Tanner_004.jpeg,"5' 7""",N/A,1999-10-15T07:00Z,Panama
Sydney Collins,North Carolina Courage,nwsl,N/A,18,0,0,0,0,0,0,0,0,4,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Sydney_Collins.jpeg,"5' 8""",N/A,1999-09-08T07:00Z,Canada
Ryan Childers,Kansas City Current,nwsl,N/A,6,0,0,1,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Rylan_Childers.jpeg,N/A,N/A,2000-09-19T07:00Z,USA
Sami Feller,Chicago Red Stars,nwsl,N/A,29,0,0,0,0,0,0,0,0,1,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Sami_Feller_001.jpeg,"5' 10""",N/A,N/A,USA
Allyson Schlegel,Chicago Red Stars,nwsl,N/A,34,2,1,0,0,4,3,0,0,11,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Ally_Schlegel_001.jpeg,"5' 7""",N/A,2000-02-07T08:00Z,USA
Paige Metayer,Washington Spirit,nwsl,N/A,26,3,1,0,1,17,6,0,3,27,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Paige_Metayer_002.jpeg,N/A,N/A,2000-09-23T07:00Z,USA
Chloe Ricketts,Washington Spirit,nwsl,N/A,39,0,0,1,0,3,1,0,0,3,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Chloe_Ricketts_002.jpeg,"5' 1""",N/A,2007-05-23T07:00Z,USA
Melanie Barcenas,San Diego Wave FC,nwsl,N/A,25,0,1,0,0,6,4,0,0,2,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\5\5/Melanie_Barcenas.png,"5' 4""",N/A,2007-10-30T07:00Z,USA
Riley Parker,Racing Louisville FC,nwsl,N/A,N/A,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,2000-03-31T08:00Z,USA
Brianna Martínez,Orlando Pride,nwsl,N/A,32,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\7\13/martinez_headshot.jpg,N/A,N/A,2000-04-22T07:00Z,USA
Manaka Matsukubo,North Carolina Courage,nwsl,N/A,34,1,0,1,0,8,3,0,0,7,N/A,"5' 1""",N/A,2004-07-28T07:00Z,Japan
